east,north,elev_m,serial,name,type,disposition,acres,status
334472.45,4660327.40,1546.0,ID105251816,PMG 370,L,Filed,5.07,ACTIVE
334565.10,4660325.23,1542.7,ID105251817,PMG 371,L,Filed,12.67,ACTIVE
333179.26,4659751.19,1632.9,ID105295442,MG 125A,L,Filed,320.0,ACTIVE
332753.78,4659855.68,1660.3,ID105295443,MG 126A,L,Filed,11.8,ACTIVE
332753.78,4659855.68,1660.3,ID105295444,MG 127A,L,Filed,11.8,ACTIVE
332753.78,4659855.68,1660.3,ID105295445,MG 128A,L,Filed,11.8,ACTIVE
332831.36,4660196.03,1669.6,ID105295446,MG 129A,L,Filed,11.8,ACTIVE
332859.45,4661384.13,1682.3,ID105295447,MG 130 A,L,Filed,11.8,ACTIVE
332859.45,4661384.13,1682.3,ID105295448,MG 131A,L,Filed,11.8,ACTIVE
333605.34,4661429.86,1638.0,ID105295449,MG 132A,L,Filed,11.8,ACTIVE
332816.44,4662189.51,1719.3,ID105295450,MG 133A,L,Filed,11.8,ACTIVE
333235.42,4662166.28,1681.1,ID105295451,MG 136A,L,Filed,4.1,ACTIVE
332502.05,4661423.70,1731.6,ID105295452,PMG 373,L,Filed,2.0,ACTIVE
332859.45,4661384.13,1682.3,ID105295453,PMG 374,L,Filed,1.9,ACTIVE
333296.48,4664156.86,1672.3,ID105295454,PMG 375,L,Filed,9.1,ACTIVE
333274.18,4663772.98,1676.1,ID105295455,PMG 376,L,Filed,9.1,ACTIVE
333332.81,4665765.84,1686.1,ID105295457,PMG 378,L,Filed,19.6,ACTIVE
333332.81,4665765.84,1686.1,ID105295458,PMG 379,L,Filed,19.6,ACTIVE
333274.18,4663772.98,1676.1,ID105295456,PMG 377,L,Filed,160.0,ACTIVE
333332.81,4665765.84,1686.1,ID105295459,PMG 380,L,Filed,19.6,ACTIVE
332558.25,4665781.95,1734.1,ID105295462,PMG 383,L,Filed,3.4,ACTIVE
331722.49,4665798.50,1803.6,ID105295463,PMG 384,L,Filed,20.66,ACTIVE
325400.77,4657312.46,1983.9,ID105295466,PMG 387,L,Filed,6.5,ACTIVE
332938.02,4665788.51,1711.6,ID105295461,PMG 382,L,Filed,3.4,ACTIVE
325623.25,4666824.31,2291.3,ID105295464,PMG 385,L,Filed,16.2,ACTIVE
325400.77,4657312.46,1983.9,ID105295465,PMG 386,L,Filed,16.2,ACTIVE
334139.62,4665749.06,1638.4,ID105295460,PMG 381,L,Filed,5.9,ACTIVE
260194.29,4656141.56,1786.6,ID101370938,BLUE 1,L,Active,20.66,ACTIVE
260195.78,4656528.39,1765.5,ID101370939,BLUE 2,L,Active,20.66,ACTIVE
261004.92,4656089.69,1854.0,ID101370940,BLUE 3,L,Active,20.66,ACTIVE
261371.57,4656146.25,1877.7,ID101370941,BLUE 4,L,Active,20.66,ACTIVE
261004.92,4656089.69,1854.0,ID101370942,BLUE 5,L,Active,20.66,ACTIVE
261371.57,4656146.25,1877.7,ID101371482,BLUE 6,L,Active,20.66,ACTIVE
261004.92,4656089.69,1854.0,ID101371483,BLUE 7,L,Active,20.66,ACTIVE
261371.57,4656146.25,1877.7,ID101371484,BLUE 8,L,Active,20.66,ACTIVE
261004.92,4656089.69,1854.0,ID101371485,BLUE 9,L,Active,20.66,ACTIVE
261371.57,4656146.25,1877.7,ID101371486,BLUE 10,L,Active,20.66,ACTIVE
261010.47,4656475.27,1847.1,ID101371487,BLUE 11,L,Active,20.66,ACTIVE
261437.89,4656515.33,1822.9,ID101371488,BLUE 12,L,Active,20.66,ACTIVE
260955.84,4656944.03,1797.7,ID101371489,BLUE 13,L,Active,20.66,ACTIVE
261472.78,4656886.57,1858.7,ID101371490,BLUE 14,L,Active,20.66,ACTIVE
260955.84,4656944.03,1797.7,ID101371491,BLUE 15,L,Active,20.66,ACTIVE
261472.78,4656886.57,1858.7,ID101371492,BLUE 16,L,Active,20.66,ACTIVE
261731.31,4656096.34,1891.2,ID101371493,BLUE 17,L,Active,20.66,ACTIVE
261764.49,4656466.53,1883.3,ID101371494,BLUE 18,L,Active,20.66,ACTIVE
262451.88,4664364.28,1969.1,ID101519066,COLD 1,L,Active,20.66,ACTIVE
262807.29,4664321.21,1936.5,ID101519067,COLD 2,L,Active,20.66,ACTIVE
262807.29,4664321.21,1936.5,ID101519068,COLD 3,L,Active,20.66,ACTIVE
262807.29,4664321.21,1936.5,ID101519069,COLD 4,L,Active,20.66,ACTIVE
262424.09,4663562.57,1991.2,ID101519070,COLD 6,L,Active,20.66,ACTIVE
262778.05,4663475.08,2013.2,ID101519071,COLD 7,L,Active,20.66,ACTIVE
262778.05,4663475.08,2013.2,ID101519072,COLD 8,L,Active,20.66,ACTIVE
262778.05,4663475.08,2013.2,ID101519073,COLD 9,L,Active,20.66,ACTIVE
262778.05,4663475.08,2013.2,ID101519074,COLD 10,L,Active,20.66,ACTIVE
263585.83,4663536.93,2016.9,ID101519075,COLD 11,L,Active,20.66,ACTIVE
262808.66,4663054.94,2062.1,ID101519076,COLD 12,L,Active,20.66,ACTIVE
262808.66,4663054.94,2062.1,ID101519077,COLD 13,L,Active,20.66,ACTIVE
262808.66,4663054.94,2062.1,ID101519078,COLD 14,L,Active,20.66,ACTIVE
262808.66,4663054.94,2062.1,ID101519079,COLD 15,L,Active,20.66,ACTIVE
262794.93,4662670.75,2126.1,ID101519080,COLD 16,L,Active,20.66,ACTIVE
263601.00,4662109.01,2133.4,ID101519081,COLD 17,L,Active,20.66,ACTIVE
262794.93,4662670.75,2126.1,ID101519082,COLD 18,L,Active,20.66,ACTIVE
262794.93,4662670.75,2126.1,ID101519083,COLD 19,L,Active,20.66,ACTIVE
263555.24,4662647.49,2095.3,ID101519084,COLD 20,L,Active,20.66,ACTIVE
263555.24,4662647.49,2095.3,ID101519085,COLD 21,L,Active,20.66,ACTIVE
263555.24,4662647.49,2095.3,ID101519086,COLD 22,L,Active,20.66,ACTIVE
262825.89,4662137.21,2248.2,ID101519893,COLD 23,L,Active,20.66,ACTIVE
262825.89,4662137.21,2248.2,ID101519894,COLD 24,L,Active,20.66,ACTIVE
263601.00,4662109.01,2133.4,ID101519895,COLD 25,L,Active,20.66,ACTIVE
263601.00,4662109.01,2133.4,ID101519896,COLD 26,L,Active,20.66,ACTIVE
262092.09,4664301.91,1894.8,ID101519897,COLD 27,L,Active,20.66,ACTIVE
261976.38,4663546.51,2046.4,ID101519898,COLD 28,L,Active,20.66,ACTIVE
262003.73,4663915.79,1921.4,ID101519185,COLD 29,L,Active,20.66,ACTIVE
261976.38,4663546.51,2046.4,ID101519186,COLD 30,L,Active,20.66,ACTIVE
262091.80,4664686.57,1890.0,ID101519187,COLD 31,L,Active,20.66,ACTIVE
262091.80,4664686.57,1890.0,ID101519188,COLD 32,L,Active,20.66,ACTIVE
262512.32,4664733.56,1921.5,ID101519189,COLD 33,L,Active,20.66,ACTIVE
262833.81,4664691.63,1900.8,ID101519190,COLD 34,L,Active,20.66,ACTIVE
262833.81,4664691.63,1900.8,ID101519191,COLD 35,L,Active,20.66,ACTIVE
262833.81,4664691.63,1900.8,ID101519998,COLD 36,L,Active,20.66,ACTIVE
262804.97,4663857.71,1981.6,ID101519999,COLD 37,L,Active,20.66,ACTIVE
263582.12,4663030.12,2049.5,ID101520000,COLD 38,L,Active,20.66,ACTIVE
263582.12,4663030.12,2049.5,ID101520001,COLD 39,L,Active,20.66,ACTIVE
262361.59,4663107.76,2011.5,ID101520002,COLD 40,L,Active,20.66,ACTIVE
262808.66,4663054.94,2062.1,ID101520003,COLD 41,L,Active,20.66,ACTIVE
262794.93,4662670.75,2126.1,ID101520004,COLD 42,L,Active,20.66,ACTIVE
263555.24,4662647.49,2095.3,ID101520005,COLD 43,L,Active,20.66,ACTIVE
263601.00,4662109.01,2133.4,ID101520006,COLD 44,L,Active,20.66,ACTIVE
264064.40,4662642.70,2050.8,ID101520007,COLD 45,L,Active,20.66,ACTIVE
263993.79,4662065.87,2134.0,ID101520008,COLD 46,L,Active,20.66,ACTIVE
264408.67,4662088.71,2116.3,ID101520009,COLD 47,L,Active,20.66,ACTIVE
262825.89,4662137.21,2248.2,ID101520010,COLD 48,L,Active,20.66,ACTIVE
263596.52,4661752.31,2171.7,ID101364109,COLD 49,L,Active,20.66,ACTIVE
263596.52,4661752.31,2171.7,ID101364110,COLD 50,L,Active,20.66,ACTIVE
263596.52,4661752.31,2171.7,ID101364111,COLD 51,L,Active,20.66,ACTIVE
263984.36,4661733.79,2175.3,ID101364112,COLD 52,L,Active,20.66,ACTIVE
264405.13,4661734.21,2122.4,ID101364113,COLD 53,L,Active,20.66,ACTIVE
264405.13,4661734.21,2122.4,ID101364114,COLD 54,L,Active,20.66,ACTIVE
