east,north,elev_m,serial,name,type,disposition,acres,status
261179.66,4651779.30,2012.6,UT105225846,PEG LEG,L,Closed,18.18,CLOSED
271660.87,4673103.48,2006.8,ID103407632,CALSITE #1,L,Closed,,CLOSED
244871.45,4693539.19,1685.5,ID103484830,AC-1,L,Closed,,CLOSED
245189.75,4693492.01,1612.9,ID103290392,AC-2,L,Closed,,CLOSED
245189.75,4693492.01,1612.9,ID103461299,AC-3,L,Closed,,CLOSED
245153.26,4693124.16,1607.1,ID103476250,AC-4,L,Closed,,CLOSED
245153.26,4693124.16,1607.1,ID103471107,AC-5,L,Closed,,CLOSED
244801.13,4693171.46,1664.8,ID103365895,AC-6,L,Closed,,CLOSED
244819.84,4692304.55,1559.2,ID101685962,AC-7,L,Closed,,CLOSED
245201.50,4692273.96,1537.6,ID103478881,AC-8,L,Closed,,CLOSED
245201.50,4692273.96,1537.6,ID103519251,AC-9,L,Closed,,CLOSED
245096.28,4691762.95,1655.5,ID103115243,AC-10,L,Closed,,CLOSED
245096.28,4691762.95,1655.5,ID103468874,AC-11,L,Closed,,CLOSED
244714.54,4691746.83,1670.3,ID103066658,AC-12,L,Closed,,CLOSED
245068.71,4691413.68,1635.6,ID103112494,AC-13,L,Closed,,CLOSED
245068.71,4691413.68,1635.6,ID103345851,AC-14,L,Closed,,CLOSED
244697.65,4691419.41,1698.1,ID103295817,AC-15,L,Closed,,CLOSED
244697.65,4691419.41,1698.1,ID103279396,AC-16,L,Closed,,CLOSED
245068.71,4691413.68,1635.6,ID103322009,AC-17,L,Closed,,CLOSED
245115.93,4691056.13,1634.7,ID103475698,AC-18,L,Closed,,CLOSED
245115.93,4691056.13,1634.7,ID103277337,AC-19,L,Closed,,CLOSED
245115.93,4691056.13,1634.7,ID103373058,AC-20,L,Closed,,CLOSED
245916.87,4691050.38,1662.2,ID103490201,AC-21,L,Closed,,CLOSED
245916.87,4691050.38,1662.2,ID103281532,AC-22,L,Closed,,CLOSED
245916.87,4691050.38,1662.2,ID103020737,AC-23,L,Closed,,CLOSED
245916.87,4691050.38,1662.2,ID103451584,AC-24,L,Closed,,CLOSED
246363.66,4691016.39,1670.6,ID103523837,AC-25,L,Closed,,CLOSED
246743.86,4690989.29,1688.4,ID103445335,AC-26,L,Closed,,CLOSED
246743.86,4690989.29,1688.4,ID102915441,AC-27,L,Closed,,CLOSED
246667.56,4691343.42,1599.9,ID103466946,AC-28,L,Closed,,CLOSED
246667.56,4691343.42,1599.9,ID103406662,AC-29,L,Closed,,CLOSED
246294.11,4691351.38,1598.7,ID103451383,AC-30,L,Closed,,CLOSED
245866.92,4691379.11,1565.5,ID103143992,AC-31,L,Closed,,CLOSED
245894.41,4691727.27,1575.4,ID103405155,AC-32,L,Closed,,CLOSED
