east,north,elev_m,name,state,county,district,au_ozt,ag_ozt,pb_pct,zn_pct,cu_pct,sb_pct,wo3_units,hg_flasks,usd_per_ton,tons,usd_per_yd3,placer,workings_open_m,commodities,source,url
324414.10,4668283.15,2649.3,Silver Hills mine,ID,Cassia,Black Pine,0.03,42.4,3.6,8.4,1.2,4.5,,,,"located ca. 1880, some ore shipped ca. 1894; 3,000+ ft of workings by 1931",,,1972,"Silver, Zinc, Lead, Copper, Antimony, Gold","Anderson, A.L., 1931, Geology and Mineral Resources of Eastern Cassia County, Idaho: IBMG Bulletin 14, 136",https://www.idahogeology.org/product/b-14
280097.19,4679307.46,2112.3,Melcher mine (galena from ore bins),ID,Cassia,Stokes (Conner Creek),0.01,99.4,,,,,,,,,,,4232,,"Anderson, A.L., 1931, IBMG Bulletin 14, 107",https://www.idahogeology.org/product/b-14
280097.19,4679307.46,2112.3,Melcher mine (concentrates),ID,Cassia,Stokes (Conner Creek),,,,,,,,,10.0,,,,4232,,"Anderson, A.L., 1931, IBMG Bulletin 14, 114",https://www.idahogeology.org/product/b-14
278104.32,4681593.22,1929.3,Big Bertha group,ID,Cassia,Stokes (Conner Creek),,,,,,,,,14.0,12 tons,,,3562,"Lead, Silver","Anderson, A.L., 1931, IBMG Bulletin 14, 117",https://www.idahogeology.org/product/b-14
278446.77,4679359.29,2098.8,Albion group (formerly Badger),ID,Cassia,Stokes (Conner Creek),,,,,,,,,73.33,30 tons,,,5217,,"Anderson, A.L., 1931, IBMG Bulletin 14 (per-ton value derived: $2,200/30 tons), 117",https://www.idahogeology.org/product/b-14
277208.95,4679398.42,2160.3,Golden Eagle property,ID,Cassia,Stokes (Conner Creek),0.04,15.6,,,,,,,,10 tons,,,5700,,"Anderson, A.L., 1931, IBMG Bulletin 14, 119",https://www.idahogeology.org/product/b-14
326433.47,4666344.36,2119.2,Valentine property (Valentine Cinnabar Co.),ID,Cassia,Black Pine,0.05,2.7,,,,,,,,,,,840,,"Anderson, A.L., 1931, IBMG Bulletin 14, 140",https://www.idahogeology.org/product/b-14
330685.03,4660677.07,1999.7,Black Pine Mine,ID,Cassia,,0.029,,,,,,,,,district total: Silver Hills shipment ca. 1894; 14 cars Hazel Pine ca. 1914; 6 cars zinc ore Ruth (WWI),,,189,"Gold, Silver","Liberty Gold Corp., 2026, Updated Mineral Resource Estimate for the Black Pine Oxide Gold Project, Idaho (news release, Feb. 10, 2026)",https://www.globenewswire.com/news-release/2026/02/10/3235115/0/en/Liberty-Gold-Announces-Updated-Mineral-Resource-Estimate-for-the-Black-Pine-Oxide-Gold-Project-Idaho.html
284983.49,4686926.73,2635.3,Golden Eagle Mine,ID,Cassia,,0.04,15.6,,,,,,,,,,,7751,"Lead, Gold, Silver, Copper",USGS MRDS Analytical_data (dep_id 10070359),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10070359
330757.19,4662652.95,2163.9,Ruth mine,ID,Cassia,Black Pine,,,,,,,,,,"six cars zinc carbonate ore, mined from the outcrop (WWI)",,,120,Zinc,"Anderson, A.L., 1931, Geology and Mineral Resources of Eastern Cassia County, Idaho: IBMG Bulletin 14, p. 138",https://www.idahogeology.org/product/b-14
332087.47,4660832.49,1779.4,Hazel Pine property,ID,Cassia,Black Pine,,,,,,,,,,"assays on croppings and dump: some zinc, trace lead, no gold, under 1 oz silver (p. 139)",,,181,"Gold, Silver, Lead","Anderson, A.L., 1931, Geology and Mineral Resources of Eastern Cassia County, Idaho: IBMG Bulletin 14, p. 138",https://www.idahogeology.org/product/b-14
252596.31,4712244.33,1260.8,"Snake River placers (near Milner, black-sand concentrate)",ID,Cassia,Snake River placers (Cassia),0.272,,,,,,,,9.51,"table 'Dollars per Ton of Black Sand Concentrate', gold column (OCR header reads 'Bleck Send Concentrate'); values are concentrate, not bank-run gravel; second Milner sample $37.89",,1,733,Gold,"Staley, W.W., 1945, Fine Gold of Snake River and Lower Salmon River, Idaho: IBMG Pamphlet 72, pdf p. 5",https://www.idahogeology.org/pub/Pamphlets/P-72.pdf
