east,north,elev_m,tier,score,unit,age,area_km2,money,tier_name
296747.48,4697100.72,1934.2,3,91.6,Rhyolite (Miocene),Miocene,146.0,0,TIER 3 — EPITHERMAL HOST
330647.37,4690238.40,1736.3,3,79.0,Rhyolite (Miocene),Miocene,6.9,0,TIER 3 — EPITHERMAL HOST
329642.15,4695260.44,1820.0,3,79.0,Rhyolite (Miocene),Miocene,1.4,0,TIER 3 — EPITHERMAL HOST
321993.60,4670006.05,1948.2,3,78.9,Sedimentary rocks associated with Basin and Range extension,Neogene,2.5,0,TIER 3 — EPITHERMAL HOST
251619.59,4664418.99,1717.5,3,78.0,Rhyolite (Miocene),Tortonian,79.0,0,TIER 3 — EPITHERMAL HOST
294564.26,4671467.95,2125.6,3,75.7,Rhyolite (Miocene),Miocene,154.2,0,TIER 3 — EPITHERMAL HOST
280148.82,4661183.63,1756.1,3,75.2,Windermere Supergroup,,9.5,0,TIER 3 — EPITHERMAL HOST
268069.04,4681876.32,1480.3,3,72.7,"Older rhyolite, latite, and andesite",Miocene,45.1,0,TIER 3 — EPITHERMAL HOST
280941.17,4685652.43,2227.7,3,72.2,Windermere Supergroup,,356.6,0,TIER 3 — EPITHERMAL HOST
264576.72,4668863.28,2226.6,3,70.2,Windermere Supergroup,,28.9,0,TIER 3 — EPITHERMAL HOST
326416.85,4693305.32,1654.4,3,70.2,Rhyolite (Miocene),Miocene,6.3,0,TIER 3 — EPITHERMAL HOST
257221.23,4678024.77,1502.1,3,67.0,Sedimentary rocks associated with Basin and Range extension,Neogene,9.1,0,TIER 3 — EPITHERMAL HOST
289080.54,4701900.55,1466.9,3,66.4,Rhyolite (Miocene),Miocene,12.0,0,TIER 3 — EPITHERMAL HOST
240779.57,4679355.61,2207.3,3,66.2,Rhyolite (Miocene),Tortonian,719.6,0,TIER 3 — EPITHERMAL HOST
251180.64,4666625.88,1743.0,3,66.0,Sedimentary rocks associated with Basin and Range extension,Neogene,251.8,0,TIER 3 — EPITHERMAL HOST
332764.36,4676547.27,1699.8,3,64.0,Sedimentary rocks associated with Basin and Range extension,Neogene,14.7,0,TIER 3 — EPITHERMAL HOST
272188.97,4690332.23,1434.4,3,64.0,Rhyolite (Miocene),Tortonian,13.2,0,TIER 3 — EPITHERMAL HOST
319329.36,4678732.95,1693.6,3,64.0,Rhyolite (Miocene),Miocene,2.7,0,TIER 3 — EPITHERMAL HOST
327102.27,4701422.83,1637.4,3,63.9,Rhyolite (Miocene),Miocene,9.9,0,TIER 3 — EPITHERMAL HOST
298927.23,4700710.78,1460.0,3,63.9,Sedimentary rocks associated with Basin and Range extension,Neogene,8.6,0,TIER 3 — EPITHERMAL HOST
